locality,count
"Premier Inn, Shalimar Bagh",2
"Radisson Blu, Paschim Vihar",2
Al Mareija,2
Al Nahda,2
"World Trade Center Mall, Al Markaziya",2
Lajpat Nagar 4,2
Mathura Road,2
Borivali West,2
"DLF Star Mall, Sector 30",2
"DoubleTree by Hilton, Sector 56",2
"Fortune Select Excalibur, Sohna Road",2
"Hotel Clark Inn, Sector 15",2
"Hotel Grenville, MG Road",2
"Hotel Haute.Monde, Sector 15",2
"ITC Mughal, Tajganj",2
"Radisson Blu, Tajganj",2
Ellis Bridge,2
Kapashera,2
Gurukul,2
Navrangpura,2
Vastrapur,2
Basant Nagar,2
"ibis New Delhi, Aerocity",2
"Jaypee Siddharth, Rajendra Place",2
"Bon Vivant, College Road",2
Usmanpura,2
Marathahalli,2
"Holiday Inn, Mayur Vihar",2
"Hotel Broadway, Daryaganj",2
"Hotel City Park, Pitampura",2
"Hotel Classic Diplomat, Mahipalpur",2
"Hotel Regent Grand, Karol Bagh",2
Sarjapur Road,2
"BMC Bhawani Mall, Sahid Nagar",2
"DLF Emporio Mall, Vasant Kunj",2
Feroze Shah Road,2
Friends Colony,2
Sahid Nagar,2
Anna Nagar East,2
"Ginger Hotel, Vivek Vihar",2
"Crowne Plaza Hotel, Rohini",2
"Crowne Plaza, Mayur Vihar Phase 1",2
"DDA Market, Kalu Sarai, Hauz Khas",2
"Country Inn & Suites by Carlson, Sector 12",2
"Courtyard by Marriott, Sushant Lok",2
"Crowne Plaza, Sector 29",2
Anand Lok,2
Powai,2
Nungambakkam,2
T. Nagar,2
RS Puram,2
Saibaba Colony,2
"Eldeco Station 1 Mall, Sector 12, Faridabad",2
Chukkuwala,2
Karanpur,2
Surya Nagar,2
Candolim,2
" ILD Trade Centre Mall, Sohna Road",2
"The Atrium, Suraj Kund",2
"Ambience Mall, Gurgaon",2
"Best Western Skycity Hotel, Sector 15, Gurgaon",2
"SM Aura Premier, Bonifacio Global City, Taguig City",2
K�_�_�_k Esat,2
"Bambalapitiya, Colombo 04",2
"Havelock Town, Colombo 05",2
"Pineslopes Shopping Centre, Fourways",2
"SM by the Bay, Mall of Asia Complex, Pasay City",2
"UP Town Center, Diliman, Quezon City",1
Moda,1
"Little Tokyo, Legaspi Village, Makati City",1
"Edsa Shangri-La, Ortigas, Mandaluyong City",1
"Waterfall Corner Mall, Midrand",1
"Post Office Center, Illovo",1
"Nicolway Shopping Centre, Bryanston",1
